"","ESPECIALIDAD","PERIODO","REGIMEN","CODIGO.ENTIDAD","GENERO","CIUDAD.RESIDENCIA","conteo"
"1","Anesteciología","2022/01","CONTRIBUTIVO","CCF090","M","PUERTO BOYACA",1
"2","Anesteciología","2022/01","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",5
"3","Anesteciología","2022/01","CONTRIBUTIVO","EPS017","M","BOGOTA",1
"4","Anesteciología","2022/01","CONTRIBUTIVO","EPS037","F","LA DORADA (CALDAS)",2
"5","Anesteciología","2022/01","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",45
"6","Anesteciología","2022/01","CONTRIBUTIVO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"7","Anesteciología","2022/01","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",10
"8","Anesteciología","2022/01","CONTRIBUTIVO","EPS044","F","PUERTO BOYACA",3
"9","Anesteciología","2022/01","CONTRIBUTIVO","EPS044","M","PUERTO BOYACA",2
"10","Anesteciología","2022/01","ESPECIAL","EMP014","F","PUERTO BOYACA",2
"11","Anesteciología","2022/01","ESPECIAL","EMP014","M","PUERTO BOYACA",1
"12","Anesteciología","2022/01","SOAT Y ARL","FDP001","M","PUERTO BOYACA",1
"13","Anesteciología","2022/01","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"14","Anesteciología","2022/01","SUBSIDIADO","EPS017","F","PUERTO BOYACA",13
"15","Anesteciología","2022/01","SUBSIDIADO","EPS017","M","PUERTO BOYACA",4
"16","Anesteciología","2022/01","SUBSIDIADO","EPS044","F","PUERTO BOYACA",4
"17","Anesteciología","2022/01","SUBSIDIADO","EPS044","M","PUERTO BOYACA",1
"18","Anesteciología","2022/01","SUBSIDIADO","ESS053","F","PUERTO BOYACA",2
"19","Anesteciología","2022/01","SUBSIDIADO","ESS091","F","PUERTO BOYACA",25
"20","Anesteciología","2022/01","SUBSIDIADO","ESS091","M","PUERTO BOYACA",3
"21","Anesteciología","2022/01","SUBSIDIADO","ESS091","M","PUERTO NARA (ANT)",2
"22","Anesteciología","2022/01","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",1
"23","Anesteciología","2022/01","VICUNLADO","15000","F","PUERTO BOYACA",1
"24","Anesteciología","2022/02","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",5
"25","Anesteciología","2022/02","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",4
"26","Anesteciología","2022/02","CONTRIBUTIVO","EPS037","F","ANTIOQUIA",1
"27","Anesteciología","2022/02","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",11
"28","Anesteciología","2022/02","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",16
"29","Anesteciología","2022/02","CONTRIBUTIVO","EPS037","M","PUERTO TRIUNFO (ANT)",2
"30","Anesteciología","2022/02","CONTRIBUTIVO","EPS044","F","PUERTO BOYACA",6
"31","Anesteciología","2022/02","CONTRIBUTIVO","EPS044","M","PUERTO BOYACA",4
"32","Anesteciología","2022/02","SOAT Y ARL","FDP001","M","PUERTO BOYACA",1
"33","Anesteciología","2022/02","SUBSIDIADO","CCF090","F","PUERTO BOYACA",3
"34","Anesteciología","2022/02","SUBSIDIADO","CCF090","M","PUERTO BOYACA",1
"35","Anesteciología","2022/02","SUBSIDIADO","EPS010","F","PUERTO BOYACA",1
"36","Anesteciología","2022/02","SUBSIDIADO","EPS017","F","PUERTO BOYACA",2
"37","Anesteciología","2022/02","SUBSIDIADO","EPS017","M","PUERTO BOYACA",1
"38","Anesteciología","2022/02","SUBSIDIADO","EPS037","F","PUERTO BOYACA",50
"39","Anesteciología","2022/02","SUBSIDIADO","EPS037","M","PUERTO BOYACA",6
"40","Anesteciología","2022/02","SUBSIDIADO","ESS091","F","ANTIOQUIA",2
"41","Anesteciología","2022/02","SUBSIDIADO","ESS091","F","PUERTO BOYACA",16
"42","Anesteciología","2022/02","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",2
"43","Anesteciología","2022/02","SUBSIDIADO","ESS091","M","PUERTO BOYACA",8
"44","Anesteciología","2022/02","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",2
"45","Anesteciología","2022/02","SUBSIDIADO","FNP001","M","PUERTO BOYACA",2
"46","Anesteciología","2022/03","ESPECIAL","EMP014","F","PUERTO BOYACA",2
"47","Anesteciología","2022/03","ESPECIAL","RES001","M","PUERTO BOYACA",1
"48","Anesteciología","2022/03","PARTICULAR","PARTIC","M","PUERTO NARA (ANT)",1
"49","Anesteciología","2022/03","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"50","Anesteciología","2022/03","SUBSIDIADO","EPS017","F","PUERTO BOYACA",15
"51","Anesteciología","2022/03","SUBSIDIADO","EPS017","F","PUERTO NARA (ANT)",1
"52","Anesteciología","2022/03","SUBSIDIADO","EPS017","M","PUERTO BOYACA",8
"53","Anesteciología","2022/03","SUBSIDIADO","EPS037","F","ANTIOQUIA",2
"54","Anesteciología","2022/03","SUBSIDIADO","EPS037","F","PUERTO BOYACA",49
"55","Anesteciología","2022/03","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"56","Anesteciología","2022/03","SUBSIDIADO","EPS037","M","PUERTO BOYACA",17
"57","Anesteciología","2022/03","SUBSIDIADO","ESS091","F","PUERTO BOYACA",27
"58","Anesteciología","2022/03","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",1
"59","Anesteciología","2022/03","SUBSIDIADO","ESS091","M","ANTIOQUIA",1
"60","Anesteciología","2022/03","SUBSIDIADO","ESS091","M","PUERTO BOYACA",8
"61","Anesteciología","2022/03","VICUNLADO","15000","F","PUERTO BOYACA",1
"62","Anesteciología","2022/04","CONTRIBUTIVO","CCF090","M","PUERTO BOYACA",2
"63","Anesteciología","2022/04","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",6
"64","Anesteciología","2022/04","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",5
"65","Anesteciología","2022/04","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",9
"66","Anesteciología","2022/04","CONTRIBUTIVO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"67","Anesteciología","2022/04","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",7
"68","Anesteciología","2022/04","ESPECIAL","RES001","M","PUERTO BOYACA",1
"69","Anesteciología","2022/04","SUBSIDIADO","CCF090","M","PUERTO BOYACA",1
"70","Anesteciología","2022/04","SUBSIDIADO","EPS037","F","LA DORADA (CALDAS)",1
"71","Anesteciología","2022/04","SUBSIDIADO","EPS037","F","PUERTO BOYACA",42
"72","Anesteciología","2022/04","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",4
"73","Anesteciología","2022/04","SUBSIDIADO","EPS037","M","ANTIOQUIA",1
"74","Anesteciología","2022/04","SUBSIDIADO","EPS037","M","PUERTO BOYACA",21
"75","Anesteciología","2022/04","SUBSIDIADO","ESS053","M","PUERTO BOYACA",1
"76","Anesteciología","2022/04","SUBSIDIADO","ESS091","F","ANTIOQUIA",1
"77","Anesteciología","2022/04","SUBSIDIADO","ESS091","F","PUERTO BOYACA",14
"78","Anesteciología","2022/04","SUBSIDIADO","ESS091","F","PUERTO NARA (ANT)",2
"79","Anesteciología","2022/04","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",2
"80","Anesteciología","2022/04","SUBSIDIADO","ESS091","M","ANTIOQUIA",2
"81","Anesteciología","2022/04","SUBSIDIADO","ESS091","M","PUERTO BOYACA",7
"82","Anesteciología","2022/04","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",1
"83","Anesteciología","2022/05","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",4
"84","Anesteciología","2022/05","CONTRIBUTIVO","EPS017","F","PUERTO TRIUNFO (ANT)",1
"85","Anesteciología","2022/05","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",4
"86","Anesteciología","2022/05","CONTRIBUTIVO","EPS037","F","ANTIOQUIA",1
"87","Anesteciología","2022/05","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",8
"88","Anesteciología","2022/05","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",4
"89","Anesteciología","2022/05","ESPECIAL","EMP014","M","PUERTO BOYACA",1
"90","Anesteciología","2022/05","SOAT Y ARL","13-24","F","ANTIOQUIA",1
"91","Anesteciología","2022/05","SOAT Y ARL","AT1317","M","PUERTO BOYACA",1
"92","Anesteciología","2022/05","SOAT Y ARL","ESD018","M","PUERTO BOYACA",1
"93","Anesteciología","2022/05","SUBSIDIADO","CCF024","F","PUERTO BOYACA",1
"94","Anesteciología","2022/05","SUBSIDIADO","CCF090","F","ANTIOQUIA",1
"95","Anesteciología","2022/05","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"96","Anesteciología","2022/05","SUBSIDIADO","EPS017","F","PUERTO BOYACA",5
"97","Anesteciología","2022/05","SUBSIDIADO","EPS017","M","PUERTO BOYACA",5
"98","Anesteciología","2022/05","SUBSIDIADO","EPS037","F","ANTIOQUIA",1
"99","Anesteciología","2022/05","SUBSIDIADO","EPS037","F","COCORNA",1
"100","Anesteciología","2022/05","SUBSIDIADO","EPS037","F","PUERTO BOYACA",64
"101","Anesteciología","2022/05","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",2
"102","Anesteciología","2022/05","SUBSIDIADO","EPS037","M","PUERTO BOYACA",23
"103","Anesteciología","2022/05","SUBSIDIADO","EPS040","F","PUERTO BOYACA",1
"104","Anesteciología","2022/05","SUBSIDIADO","ESS053","M","PUERTO BOYACA",1
"105","Anesteciología","2022/05","SUBSIDIADO","ESS091","F","PUERTO BOYACA",19
"106","Anesteciología","2022/05","SUBSIDIADO","ESS091","M","PUERTO BOYACA",9
"107","Anesteciología","2022/05","SUBSIDIADO","ESS233","M","ANTIOQUIA",1
"108","Anesteciología","2022/05","SUBSIDIADO","ESS233","M","PUERTO TRIUNFO (ANT)",1
"109","Anesteciología","2022/06","CONTRIBUTIVO","CCF090","F","PUERTO BOYACA",2
"110","Anesteciología","2022/06","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",2
"111","Anesteciología","2022/06","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",4
"112","Anesteciología","2022/06","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",7
"113","Anesteciología","2022/06","CONTRIBUTIVO","EPS037","F","PUERTO NARA (ANT)",1
"114","Anesteciología","2022/06","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",5
"115","Anesteciología","2022/06","CONTRIBUTIVO","ESS091","M","PUERTO BOYACA",1
"116","Anesteciología","2022/06","SOAT Y ARL","AT1317","M","PUERTO BOYACA",1
"117","Anesteciología","2022/06","SUBSIDIADO","CCF090","F","PUERTO BOYACA",2
"118","Anesteciología","2022/06","SUBSIDIADO","EPS017","F","PUERTO BOYACA",13
"119","Anesteciología","2022/06","SUBSIDIADO","EPS017","M","PUERTO BOYACA",5
"120","Anesteciología","2022/06","SUBSIDIADO","EPS037","F","PUERTO BOYACA",54
"121","Anesteciología","2022/06","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",5
"122","Anesteciología","2022/06","SUBSIDIADO","EPS037","M","PUERTO BOYACA",18
"123","Anesteciología","2022/06","SUBSIDIADO","ESS091","F","PUERTO BOYACA",17
"124","Anesteciología","2022/06","SUBSIDIADO","ESS091","F","PUERTO NARA (ANT)",1
"125","Anesteciología","2022/06","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",1
"126","Anesteciología","2022/06","SUBSIDIADO","ESS091","M","PUERTO BOYACA",6
"127","Anesteciología","2022/06","SUBSIDIADO","ESS233","F","PUERTO BOYACA",2
"128","Anesteciología","2022/07","CONTRIBUTIVO","EPS008","F","PUERTO BOYACA",1
"129","Anesteciología","2022/07","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",5
"130","Anesteciología","2022/07","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",3
"131","Anesteciología","2022/07","CONTRIBUTIVO","EPS037","F","PUERTO TRIUNFO (ANT)",2
"132","Anesteciología","2022/07","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",4
"133","Anesteciología","2022/07","ESPECIAL","EMP014","F","PUERTO BOYACA",5
"134","Anesteciología","2022/07","ESPECIAL","RES004","M","PUERTO BOYACA",4
"135","Anesteciología","2022/07","Particular","PARTIC","M","PUERTO BOYACA",1
"136","Anesteciología","2022/07","SOAT Y ARL","14-28","M","PUERTO TRIUNFO (ANT)",1
"137","Anesteciología","2022/07","SUBSIDIADO","EPS017","F","BOGOTA",1
"138","Anesteciología","2022/07","SUBSIDIADO","EPS017","F","PUERTO BOYACA",10
"139","Anesteciología","2022/07","SUBSIDIADO","EPS017","F","SALGAR",1
"140","Anesteciología","2022/07","SUBSIDIADO","EPS017","M","PUERTO BOYACA",6
"141","Anesteciología","2022/07","SUBSIDIADO","EPS037","F","ANTIOQUIA",2
"142","Anesteciología","2022/07","SUBSIDIADO","EPS037","F","PUERTO BOYACA",64
"143","Anesteciología","2022/07","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",2
"144","Anesteciología","2022/07","SUBSIDIADO","EPS037","M","ANTIOQUIA",2
"145","Anesteciología","2022/07","SUBSIDIADO","EPS037","M","PUERTO BOYACA",20
"146","Anesteciología","2022/07","SUBSIDIADO","ESS091","F","PUERTO BOYACA",19
"147","Anesteciología","2022/07","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",1
"148","Anesteciología","2022/07","SUBSIDIADO","ESS091","M","PUERTO BOYACA",4
"149","Anesteciología","2022/07","SUBSIDIADO","ESS091","M","PUERTO NARA (ANT)",2
"150","Anesteciología","2022/07","VICUNLADO","15000","F","PUERTO BOYACA",1
"151","Anesteciología","2022/08","PARTICULAR","PARTIC","F","PUERTO BOYACA",1
"152","Anesteciología","2022/08","SOAT Y ARL","FFD001","M","PUERTO BOYACA",1
"153","Anesteciología","2022/08","SOAT Y ARL","RP1429","M","BOGOTA",1
"154","Anesteciología","2022/08","SUBSIDIADO","EPS017","F","PUERTO BOYACA",25
"155","Anesteciología","2022/08","SUBSIDIADO","EPS017","F","PUERTO TRIUNFO (ANT)",1
"156","Anesteciología","2022/08","SUBSIDIADO","EPS017","F","SALGAR",1
"157","Anesteciología","2022/08","SUBSIDIADO","EPS017","M","PUERTO BOYACA",8
"158","Anesteciología","2022/08","SUBSIDIADO","EPS037","F","ANTIOQUIA",1
"159","Anesteciología","2022/08","SUBSIDIADO","EPS037","F","PUERTO BOYACA",37
"160","Anesteciología","2022/08","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",3
"161","Anesteciología","2022/08","SUBSIDIADO","EPS037","M","PUERTO BOYACA",30
"162","Anesteciología","2022/08","SUBSIDIADO","EPS037","M","PUERTO TRIUNFO (ANT)",1
"163","Anesteciología","2022/08","SUBSIDIADO","EPSS40","F","PUERTO BOYACA",1
"164","Anesteciología","2022/08","SUBSIDIADO","ESS091","F","ANTIOQUIA",1
"165","Anesteciología","2022/08","SUBSIDIADO","ESS091","F","PUERTO BOYACA",7
"166","Anesteciología","2022/08","SUBSIDIADO","ESS091","M","PUERTO BOYACA",1
"167","Anesteciología","2022/08","SUBSIDIADO","FNP001","M","PUERTO BOYACA",1
"168","Anesteciología","2022/09","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",11
"169","Anesteciología","2022/09","CONTRIBUTIVO","EPS017","F","PUERTO TRIUNFO (ANT)",1
"170","Anesteciología","2022/09","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",11
"171","Anesteciología","2022/09","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",15
"172","Anesteciología","2022/09","CONTRIBUTIVO","EPS037","M","ANTIOQUIA",1
"173","Anesteciología","2022/09","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",16
"174","Anesteciología","2022/09","ESPECIAL","RES004","F","PUERTO BOYACA",2
"175","Anesteciología","2022/09","SOAT Y ARL","14-28","M","PUERTO BOYACA",1
"176","Anesteciología","2022/09","SOAT Y ARL","AT1317","M","PUERTO TRIUNFO (ANT)",1
"177","Anesteciología","2022/09","SOAT Y ARL","FDP001","M","PUERTO BOYACA",1
"178","Anesteciología","2022/09","SUBSIDIADO","EPS017","F","ANTIOQUIA",2
"179","Anesteciología","2022/09","SUBSIDIADO","EPS017","F","PUERTO BOYACA",4
"180","Anesteciología","2022/09","SUBSIDIADO","EPS017","F","PUERTO NARA (ANT)",1
"181","Anesteciología","2022/09","SUBSIDIADO","EPS017","F","PUERTO TRIUNFO (ANT)",1
"182","Anesteciología","2022/09","SUBSIDIADO","EPS017","M","PUERTO BOYACA",4
"183","Anesteciología","2022/09","SUBSIDIADO","EPS037","F","ANTIOQUIA",1
"184","Anesteciología","2022/09","SUBSIDIADO","EPS037","F","PUERTO BOYACA",43
"185","Anesteciología","2022/09","SUBSIDIADO","EPS037","F","PUERTO NARA (ANT)",1
"186","Anesteciología","2022/09","SUBSIDIADO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"187","Anesteciología","2022/09","SUBSIDIADO","EPS037","M","PUERTO BOYACA",26
"188","Anesteciología","2022/09","SUBSIDIADO","ESS091","F","PUERTO BOYACA",10
"189","Anesteciología","2022/09","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO (ANT)",2
"190","Anesteciología","2022/09","SUBSIDIADO","ESS091","M","PUERTO BOYACA",3
"191","Anesteciología","2022/09","SUBSIDIADO","ESS091","M","PUERTO NARA (ANT)",1
"192","Anesteciología","2022/10","CONTRIBUTIVO","ESS091","M","PUERTO BOYACA",1
"193","Anesteciología","2022/10","SUBSIDIADO","CCF090","F","PUERTO BOYACA",2
"194","Anesteciología","2022/10","SUBSIDIADO","ESS053","F","PUERTO BOYACA",2
"195","Anesteciología","2022/10","SUBSIDIADO","ESS091","F","PUERTO BOYACA",10
"196","Anesteciología","2022/10","SUBSIDIADO","ESS091","F","PUERTO TRIUNFO",1
"197","Anesteciología","2022/10","SUBSIDIADO","ESS091","M","PUERTO BOYACA",3
"198","Anesteciología","2022/10","SUBSIDIADO","ESS091","M","PUERTO NARE",1
"199","Anesteciología","2022/10","SUBSIDIADO","ESS233","F","ANTIOQUIA",1
"200","Anesteciología","2022/10","SUBSIDIADO","ESS233","F","DORADAL",2
"201","Anesteciología","2022/10","SUBSIDIADO","ESS233","M","PUERTO BOYACA",2
"202","Cirugia General","2022/01","CONTRIBUTIVO","EMP014","F","PUERTO BOYACA",1
"203","Cirugia General","2022/01","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",8
"204","Cirugia General","2022/01","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",3
"205","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","F","ANTIOQUIA",2
"206","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","F","CIMITARRA (SANTANDER)",1
"207","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",55
"208","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","F","PUERTO TRIUNFO (ANT)",1
"209","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","M","ANTIOQUIA",2
"210","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",40
"211","Cirugia General","2022/01","CONTRIBUTIVO","EPS037","M","PUERTO TRIUNFO (ANT)",3
"212","Cirugia General","2022/01","CONTRIBUTIVO","EPS044","M","PUERTO BOYACA",2
"213","Cirugia General","2022/01","CONTRIBUTIVO","ESS024","F","PUERTO BOYACA",1
"214","Cirugia General","2022/01","ESPECIAL","EMP014","M","PUERTO BOYACA",1
"215","Cirugia General","2022/01","SOAT Y ARL","AT1306","M","PUERTO BOYACA",1
"216","Cirugia General","2022/01","SOAT Y ARL","COL001","F","ANTIOQUIA",1
"217","Cirugia General","2022/01","SUBSIDIADO","CCF090","F","PUERTO BOYACA",1
"218","Cirugia General","2022/01","SUBSIDIADO","CCF090","M","PUERTO BOYACA",2
"219","Cirugia General","2022/01","SUBSIDIADO","EPS017","F","PUERTO BOYACA",9
"220","Cirugia General","2022/01","SUBSIDIADO","EPS017","M","ANTIOQUIA",1
"221","Cirugia General","2022/01","SUBSIDIADO","EPS017","M","PUERTO BOYACA",5
"222","Cirugia General","2022/01","SUBSIDIADO","EPS033","M","PUERTO BOYACA",1
"223","Cirugia General","2022/01","SUBSIDIADO","EPS037","M","PUERTO BOYACA",5
"224","Cirugia General","2022/01","SUBSIDIADO","EPS044","M","PUERTO BOYACA",1
"225","Cirugia General","2022/01","SUBSIDIADO","ESS091","F","PUERTO BOYACA",29
"226","Cirugia General","2022/01","SUBSIDIADO","ESS091","M","PUERTO BOYACA",13
"227","Cirugia General","2022/01","SUBSIDIADO","ESS091","M","PUERTO TRIUNFO (ANT)",2
"228","Cirugia General","2022/01","SUBSIDIADO","ESS233","F","PUERTO TRIUNFO (ANT)",2
"229","Cirugia General","2022/01","SUBSIDIADO","ESS233","M","PUERTO TRIUNFO (ANT)",1
"230","Cirugia General","2022/01","SUBSIDIADO","FNP001","M","TUNJA",2
"231","Cirugia General","2022/01","VICUNLADO","15000","M","PUERTO BOYACA",1
"232","Cirugia General","2022/02","CONTRIBUTIVO","EPS017","F","PUERTO BOYACA",5
"233","Cirugia General","2022/02","CONTRIBUTIVO","EPS017","M","ANTIOQUIA",2
"234","Cirugia General","2022/02","CONTRIBUTIVO","EPS017","M","PUERTO BOYACA",7
"235","Cirugia General","2022/02","CONTRIBUTIVO","EPS037","F","ANTIOQUIA",2
"236","Cirugia General","2022/02","CONTRIBUTIVO","EPS037","F","PUERTO BOYACA",12
"237","Cirugia General","2022/02","CONTRIBUTIVO","EPS037","F","TUNJA",2
"238","Cirugia General","2022/02","CONTRIBUTIVO","EPS037","M","PUERTO BOYACA",18
"239","Cirugia General","2022/02","CONTRIBUTIVO","EPS044","F","PUERTO BOYACA",3
"240","Cirugia General","2022/02","CONTRIBUTIVO","EPS044","M","PUERTO BOYACA",3
"241","Cirugia General","2022/02","CONTRIBUTIVO","ESS091","F","PUERTO BOYACA",4
"242","Cirugia General","2022/02","ESPECIAL","RES004","M","PUERTO BOYACA",1
"243","Cirugia General","2022/02","SUBSIDIADO","EPS017","F","PUERTO BOYACA",4
"244","Cirugia General","2022/02","SUBSIDIADO","EPS017","M","PUERTO BOYACA",1
"245","Cirugia General","2022/02","SUBSIDIADO","EPS037","F","PUERTO BOYACA",39
"246","Cirugia General","2022/02","SUBSIDIADO","EPS037","M","PUERTO BOYACA",18
"247","Cirugia General","2022/02","SUBSIDIADO","ESS053","M","PUERTO BOYACA",3
"248","Cirugia General","2022/02","SUBSIDIADO","ESS091","F","ANTIOQUIA",1
